"filename", "language", "YAML", "Crystal", "Markdown", "JSON", "Zig", "Nim", "Nimble", "comment", "blank", "total"
"c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_quic_client.cr", "Crystal", 0, 858, 0, 0, 0, 0, 0, 233, 220, 1311
"c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_varint.cr", "Crystal", 0, 134, 0, 0, 0, 0, 0, 34, 18, 186
"c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\javascript_parser.cr", "Crystal", 0, 590, 0, 0, 0, 0, 0, 109, 103, 802
"c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\network_factory.cr", "Crystal", 0, 734, 0, 0, 0, 0, 0, 137, 185, 1056
"c:\Users\Aqua\Programming\Quantum\src\crystal\browser\page.cr", "Crystal", 0, 1700, 0, 0, 0, 0, 0, 327, 401, 2428
"c:\Users\Aqua\Programming\Quantum\src\crystal\browser\rendering_engine.cr", "Crystal", 0, 4795, 0, 0, 0, 0, 0, 1309, 1179, 7283
"c:\Users\Aqua\Programming\Quantum\src\crystal\events\event_dispatcher.cr", "Crystal", 0, 546, 0, 0, 0, 0, 0, 241, 121, 908
"c:\Users\Aqua\Programming\Quantum\src\crystal\events\optimized_dispatcher.cr", "Crystal", 0, 349, 0, 0, 0, 0, 0, 83, 99, 531
"c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_browser.cr", "Crystal", 0, 94, 0, 0, 0, 0, 0, 41, 20, 155
"c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\config.cr", "Crystal", 0, 1129, 0, 0, 0, 0, 0, 103, 230, 1462
